Plot,carbon_mg_ha,Treatment,rsd,Stability_Treatment,order,rep
bc1,121.4253124,bc,17.22738856,7.048387629,4,1
bc2,125.119763,bc,17.22738856,7.262839782,4,2
bc3,153.4330787,bc,17.22738856,8.906345737,4,3
bn1,121.5767254,bn,16.44041252,7.394992383,2,1
bn2,125.9385986,bn,16.44041252,7.66030648,2,2
bn3,154.6993913,bn,16.44041252,9.409702527,2,3
bs1,30.01271333,bs,17.50663026,1.714362666,6,1
bs2,69.33133476,bs,17.50663026,3.960290115,6,2
bs3,48.15047994,bs,17.50663026,2.750413942,6,3
uc1,231.4193329,uc,35.79344539,6.465410926,3,1
uc2,169.3273316,uc,35.79344539,4.730679872,3,2
uc3,157.6597888,uc,35.79344539,4.404711173,3,3
un1,182.9978578,un,36.25105089,5.048070423,1,1
un2,113.9210278,un,36.25105089,3.142557938,1,2
un3,186.1223112,un,36.25105089,5.134259741,1,3
us1,73.0205128,us,12.91758075,5.652800956,5,1
us2,102.6114387,us,12.91758075,7.943549238,5,2
us3,87.19968594,us,12.91758075,6.750465713,5,3
