Plot,Treatment,year,carbon_mg_ha
bc1,bc,2008,143.5763846
bc2,bc,2008,137.3837622
bc3,bc,2008,160.0578781
bn1,bn,2008,137.6090201
bn2,bn,2008,136.5345411
bn3,bn,2008,161.3289853
bs1,bs,2008,36.33195624
bs2,bs,2008,77.79434973
bs3,bs,2008,51.52957059
uc1,uc,2008,249.010541
uc2,uc,2008,198.0591421
uc3,uc,2008,193.6973658
un1,un,2008,190.4313722
un2,un,2008,122.8553984
un3,un,2008,201.0081543
us1,us,2008,73.90781784
us2,us,2008,102.8358919
us3,us,2008,88.40739735
bc1,bc,2011,137.2600465
bc2,bc,2011,127.8148691
bc3,bc,2011,163.9123623
bn1,bn,2011,134.6526921
bn2,bn,2011,152.9549688
bn3,bn,2011,173.6557954
bs1,bs,2011,38.901771
bs2,bs,2011,79.08096654
bs3,bs,2011,50.60096472
uc1,uc,2011,255.5968251
uc2,uc,2011,182.542962
uc3,uc,2011,189.8444399
un1,un,2011,191.2147366
un2,un,2011,132.64619
un3,un,2011,212.336248
us1,us,2011,81.53739405
us2,us,2011,106.9934876
us3,us,2011,93.43032456
bc1,bc,2017,83.43950616
bc2,bc,2017,110.1606576
bc3,bc,2017,136.3289956
bn1,bn,2017,92.46846405
bn2,bn,2017,88.32628584
bn3,bn,2017,129.1133932
bs1,bs,2017,14.80441277
bs2,bs,2017,51.11868801
bs3,bs,2017,42.32090451
uc1,uc,2017,189.6506326
uc2,uc,2017,127.3798909
uc3,uc,2017,89.43756084
un1,un,2017,167.3474646
un2,un,2017,86.26149483
un3,un,2017,145.0225312
us1,us,2017,63.61632651
us2,us,2017,98.00493657
us3,us,2017,79.76133594
