Treatment,year,fuel_type,carbon,std,order,treatment_order
bc,2004,CWD,-8.971835333,-3.247218583,c,4
bc,2011,CWD,-16.91554921,-6.709555071,c,4
bc,2017,CWD,-27.56405786,-8.752010061,c,4
bc,2018,CWD,-9.428648915,-3.486627743,c,4
bc,2019,CWD,-10.54108018,-5.342695824,c,4
bc,2004,Dead,-54.72336406,-2.704493607,b,4
bc,2011,Dead,-50.43623396,-14.32901955,b,4
bc,2017,Dead,-80.00413821,-36.2430058,b,4
bc,2018,Dead,-64.29265815,-25.24057219,b,4
bc,2019,Dead,-68.451839,-23.27538883,b,4
bc,2004,Live,175.430588,13.42319636,a,4
bc,2011,Live,158.1892842,18.10414177,a,4
bc,2017,Live,124.1994735,21.69671251,a,4
bc,2018,Live,104.8107427,10.8149089,a,4
bc,2019,Live,97.93849552,7.810955605,a,4
bn,2004,CWD,-9.422385,-1.342398123,c,2
bn,2011,CWD,-14.29425127,-9.088546945,c,2
bn,2017,CWD,-27.71953381,-11.68570266,c,2
bn,2018,CWD,-10.29282284,-4.843095857,c,2
bn,2019,CWD,-10.45972505,-3.816522336,c,2
bn,2004,Dead,-39.90246518,-13.91742898,b,2
bn,2011,Dead,-46.08839011,-7.055901277,b,2
bn,2017,Dead,-122.6471862,-23.17740425,b,2
bn,2018,Dead,-112.5720741,-21.21269113,b,2
bn,2019,Dead,-118.2577518,-18.49809434,b,2
bn,2004,Live,239.8387372,18.16435495,a,2
bn,2011,Live,241.5507578,17.0750177,a,2
bn,2017,Live,168.0886485,16.42754797,a,2
bn,2018,Live,156.749522,17.57951553,a,2
bn,2019,Live,147.693991,18.88228987,a,2
bs,2004,CWD,-8.371682333,-5.782357074,c,6
bs,2011,CWD,-11.85498585,-5.905566683,c,6
bs,2017,CWD,-24.40864582,-2.834575325,c,6
bs,2018,CWD,-15.30011708,-5.752292846,c,6
bs,2019,CWD,-21.66024725,-9.122085157,c,6
bs,2004,Dead,-36.99323254,-0.829324871,b,6
bs,2011,Dead,-28.7525151,-2.684078085,b,6
bs,2017,Dead,-48.86281113,-9.086419516,b,6
bs,2018,Dead,-42.18399804,-8.996775387,b,6
bs,2019,Dead,-39.92461295,-10.55217595,b,6
bs,2004,Live,80.26855224,18.96444767,a,6
bs,2011,Live,75.90188061,22.08986384,a,6
bs,2017,Live,52.14182029,22.41247877,a,6
bs,2018,Live,46.80884731,19.13555307,a,6
bs,2019,Live,44.90065803,17.50316316,a,6
uc,2004,CWD,-20.29548667,-4.940444213,c,3
uc,2011,CWD,-19.51841249,-6.782606929,c,3
uc,2017,CWD,-33.20617269,-9.846187895,c,3
uc,2018,CWD,-33.6079148,-8.527880419,c,3
uc,2019,CWD,-32.76091534,-7.004542403,c,3
uc,2004,Dead,-54.83830289,-21.18860182,b,3
uc,2011,Dead,-46.19325766,-12.06429937,b,3
uc,2017,Dead,-110.0281683,-28.3415467,b,3
uc,2018,Dead,-110.0281683,-28.3415467,b,3
uc,2019,Dead,-110.0281683,-28.3415467,b,3
uc,2004,Live,213.4707563,40.31056144,a,3
uc,2011,Live,232.4749179,39.11746024,a,3
uc,2017,Live,157.8348973,47.07862541,a,3
uc,2018,Live,157.8348973,47.07862541,a,3
uc,2019,Live,157.8348973,47.07862541,a,3
un,2004,CWD,-27.56095667,-8.328823581,c,1
un,2011,CWD,-24.67038811,-10.6373885,c,1
un,2017,CWD,-29.44151617,-22.21472004,c,1
un,2018,CWD,-28.14178796,-23.78046598,c,1
un,2019,CWD,-25.79641854,-24.63728224,c,1
un,2004,Dead,-58.84367405,-20.69887255,b,1
un,2011,Dead,-43.41838609,-17.14910957,b,1
un,2017,Dead,-110.2531795,-16.42129853,b,1
un,2018,Dead,-110.2531795,-16.42129853,b,1
un,2019,Dead,-110.2531795,-16.42129853,b,1
un,2004,Live,240.48902,39.82702076,a,1
un,2011,Live,259.2624403,41.39175623,a,1
un,2017,Live,195.486074,42.39321501,a,1
un,2018,Live,195.486074,42.39321501,a,1
un,2019,Live,195.486074,42.39321501,a,1
us,2004,CWD,-17.59605333,-3.375089472,c,5
us,2011,CWD,-20.57207989,-12.84898491,c,5
us,2017,CWD,-28.15842001,-13.16698395,c,5
us,2018,CWD,-29.8730147,-15.99559664,c,5
us,2019,CWD,-30.47764242,-18.91030826,c,5
us,2004,Dead,-41.90912748,-12.71807315,b,5
us,2011,Dead,-31.40201002,-11.94817448,b,5
us,2017,Dead,-45.93843014,-3.941907205,b,5
us,2018,Dead,-45.93843014,-3.941907205,b,5
us,2019,Dead,-45.93843014,-3.941907205,b,5
us,2004,Live,108.3071282,16.67124744,a,5
us,2011,Live,117.5974806,10.81081724,a,5
us,2017,Live,102.0203047,17.68030493,a,5
us,2018,Live,102.0203047,17.68030493,a,5
us,2019,Live,102.0203047,17.68030493,a,5
